F0114,00HA,E06000022,Bath and North East Somerset UA, , , , ,
K0235,00KB,E06000055,Bedford UA,0, , , ,
M2372,00EX,E06000008,Blackburn with Darwen UA, ,0,0,0,0
J2373,00EY,E06000009,Blackpool UA,0,10,4,10,16
G1250,00HN,E06000028,Bournemouth UA,1,5,4,17,43
R0335,00MA,E06000036,Bracknell Forest UA,0,0,0,0,0
Q1445,00ML,E06000043,Brighton and Hove UA,10,16,14,226,141
Z0116,00HB,E06000023,"Bristol, City of UA",92,71,50,114,154
P0240,00KC,E06000056,Central Bedfordshire UA,11,9,7,19,30
R0660,00EQ,E06000049,Cheshire East UA,0, , , ,
A0665,00EW,E06000050,Cheshire West and Chester UA,4,#,3,15,44
D0840,00HE,E06000052,Cornwall UA,1,7,5,24,46
X1355,00EJ,E06000047,County Durham UA,29,35,48,50,80
N1350,00EH,E06000005,Darlington UA,5,7,6,17,19
C1055,00FK,E06000015,Derby UA,25,18,35,72,138
E2001,00FB,E06000011,East Riding of Yorkshire UA,9,19,12,44,64
D0650,00ET,E06000006,Halton UA, , , , ,
H0724,00EB,E06000001,Hartlepool UA, , , , ,
W1850,00GA,E06000019,"Herefordshire, County of UA", , , , ,
P2114,00MW,E06000046,Isle of Wight UA, , , , ,
Z0835,00HF,E06000053,Isles of Scilly UA,0,0,0,0,0
V2004,00FA,E06000010,"Kingston upon Hull, City of UA",79,"1,250",70,117,187
W2465,00FN,E06000016,Leicester UA,75,65,99,148,174
B0230,00KA,E06000032,Luton UA,19,20,17,30,44
A2280,00LC,E06000035,Medway UA,5,5,3,21,10
W0734,00EC,E06000002,Middlesbrough UA, , , , ,
Y0435,00MG,E06000042,Milton Keynes UA,13,23,25,45,75
B2002,00FC,E06000012,North East Lincolnshire UA,0, , , ,
Y2003,00FD,E06000013,North Lincolnshire UA, , , , ,
D0121,00HC,E06000024,North Somerset UA, , , , ,
P2935,00EM,E06000048,Northumberland UA,7,12,10,34,45
Q3060,00FY,E06000018,Nottingham UA,78,173,180,187,194
J0540,00JA,E06000031,Peterborough UA, , , , ,
N1160,00HG,E06000026,Plymouth UA,13, , , ,
Q1255,00HP,E06000029,Poole UA,7,7,5,22,38
Z1775,00MR,E06000044,Portsmouth UA,35,31,19,43,83
E0345,00MC,E06000038,Reading UA,10,5,6,25,36
V0728,00EE,E06000003,Redcar and Cleveland UA, , , , ,
A2470,00FP,E06000017,Rutland UA,0, , , ,
L3245,00GG,E06000051,Shropshire UA,2,7,37,14,28
J0350,00MD,E06000039,Slough UA,7,#,16,32,67
P0119,00HD,E06000025,South Gloucestershire UA, , , , ,
D1780,00MS,E06000045,Southampton UA,29,34,28,63,107
D1590,00KF,E06000033,Southend-on-Sea UA,5,5,7,9,27
H0738,00EF,E06000004,Stockton-on-Tees UA,26,"10,294",0,0,0
M3455,00GL,E06000021,Stoke-on-Trent UA,42,81,80,81,112
U3935,00HX,E06000030,Swindon UA,16,5,13,40,67
C3240,00GF,E06000020,Telford and Wrekin UA, , , , ,
M1595,00KG,E06000034,Thurrock UA,7,0,21,46,88
X1165,00HH,E06000027,Torbay UA, , , , ,
M0655,00EU,E06000007,Warrington UA,12,"8,660",0,0,0
W0340,00MB,E06000037,West Berkshire UA, , , , ,
Y3940,00HY,E06000054,Wiltshire UA,4,10,5,19,38
T0355,00ME,E06000040,Windsor and Maidenhead UA, , , , ,
X0360,00MF,E06000041,Wokingham UA,1,4,1,6,12
C2741,00FF,E06000014,York UA,5,10,0,24,53
Z5060,00AB,E09000002,Barking and Dagenham,51,69,73,97,226
N5090,00AC,E09000003,Barnet,5,4,6,34,103
D5120,00AD,E09000004,Bexley, , , , ,
T5150,00AE,E09000005,Brent,6,5,13,178,93
G5180,00AF,E09000006,Bromley, , , , ,
X5210,00AG,E09000007,Camden,11,15,7,30,76
K5030,00AA,E09000001,City of London,2,0,1,1,21
L5240,00AH,E09000008,Croydon,5,8,10,36,52
A5270,00AJ,E09000009,Ealing,8,7,9,39,130
Q5300,00AK,E09000010,Enfield,12,9,8,56,100
E5330,00AL,E09000011,Greenwich,15,17,45,204,252
U5360,00AM,E09000012,Hackney,3,14,10,26,76
H5390,00AN,E09000013,Hammersmith and Fulham,#,8,64,103,164
Y5420,00AP,E09000014,Haringey,14,19,7,159,147
M5450,00AQ,E09000015,Harrow,9,5,0,14,36
B5480,00AR,E09000016,Havering,65,#,5,49,96
